GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,19,3,0,0,4,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,27,81,3,5,5,22,4,7,1,6
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,28,112,2,2,2,25,4,7,2,7
spring-boot-skeleton,com.nnk.springboot.controllers,RegistrationController,64,6,10,0,18,3,7,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,27,81,3,5,5,22,4,7,1,6
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,33,75,5,3,6,21,4,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,MyErrorController,45,3,12,0,12,1,7,1,1,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,16,92,4,4,3,24,4,7,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,16,92,4,4,3,24,4,7,0,7
spring-boot-skeleton,com.nnk.springboot.service.implementation,TradeServiceImpl,17,152,2,4,2,29,2,8,0,7
spring-boot-skeleton,com.nnk.springboot.service.implementation,UserServiceImpl,51,151,2,4,11,31,2,8,0,7
spring-boot-skeleton,com.nnk.springboot.service.implementation,PasswordValidator,3,11,0,0,1,3,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.service.implementation,CurvePointServiceImpl,17,152,2,4,2,29,2,8,0,7
spring-boot-skeleton,com.nnk.springboot.service.implementation,RuleNameServiceImpl,17,164,2,4,2,32,2,8,0,7
spring-boot-skeleton,com.nnk.springboot.service.implementation,BidListServiceImpl,27,143,2,4,3,28,2,8,0,7
spring-boot-skeleton,com.nnk.springboot.service.implementation,RatingServiceImpl,17,156,2,4,2,30,2,8,0,7
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,21,70,0,0,3,8,2,12,2,12
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,27,94,0,0,3,10,2,16,2,16
spring-boot-skeleton,com.nnk.springboot.domain,BidList,22,54,0,0,3,7,3,9,3,9
spring-boot-skeleton,com.nnk.springboot.domain,Trade,22,54,0,0,3,7,3,9,3,9
spring-boot-skeleton,com.nnk.springboot.domain,User,27,73,0,0,3,9,2,12,2,12
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,18,58,0,0,3,7,2,10,2,10
spring-boot-skeleton,com.nnk.springboot.service.implementation.auth,UserDetailsAuthenticate,12,64,2,4,1,17,2,6,0,5
spring-boot-skeleton,com.nnk.springboot.security.config,WebSecurityConfig,0,148,0,0,0,32,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.security.config,AuthenticationSuccess,10,35,4,4,4,10,3,3,0,2
